127,Spikes (On Beat),,
126,Shaker (On Beat),,
125,Shaker (Off Beat),,
124,Cabasa (On Beat),,
123,Caxixi (On Beat),,
122,Caxixi (Off Beat),,
121,Shells (On Beat),,
120,High Hat (Open),,
119,High Hat (Closed),,
118,Ride (Mute Hit),,
117,Bells (SLeigh Large),,
116,Bells (SLeigh Small),,
115,FX Box (Dry FX 1),,
114,FX Box (Dry FX 2),,
113,FX Box (Castanets),,
112,FX Box (Whip Single),,
111,FX Box (Whip Flam),,
110,FX Box (Bell Tree),,
109,FX Box (Chimes),,
108,FX Box (Lightning),,
107,FX Box (Thunder 1),,
106,FX Box (Thunder 2),,
105,FX Box (Ratchet),,
104,FX Box (Vibraslap),,
103,FX Box (Flexatone),,
102,FX Box (Rain Stick),,
101,FX Box (Ocean Side),,
100,FX Box (Ocean Sound),,
99,KD (D# Hi),,
98,KD (D Hi),,
97,KD (C# Hi),,
96,KD (C Hi),,
95,KD (B),,
94,KD (A#),,
93,KD (A),,
92,KD (G#),,
91,KD (G),,
90,KD (F#),,
89,KD (F),,
88,KD (E),,
87,KD (D# Low),,
86,KD (D Low),,
85,KD (C# Low),,
84,KD (C Low),,
83,KD (Mute Hit),,
82,Body Sounds (Stomps),,
81,Triangle (Open),,
80,Triangle (Mute Hit),,
79,Woodblock (Block 5),,
78,Woodblock (Block 4),,
77,Woodblock (Block 3),,
76,Woodblock (Block 2),,
75,Woodblock (Block 1),,
74,Guiro (Long),,
73,Guiro (Short),,
72,Tribal (Bass Drum),,
71,Tribal (Boobam),,
70,Macaras (On Beat),,
69,Macaras (Off Beat),,
68,Body Sounds (Crowd Snaps),,
67,Body Sounds (Single Snaps),,
66,Body Sounds (Big Claps),,
65,Hi Hat (Seq Hits),,
64,Hi Hat (Closed Edge),,
63,Hi Hat (Tight Tip),,
62,Hi Hat (Tight Edge),,
61,Hi Hat (Closed Tip),,
60,Hi Hat (Open 4),,
59,Ride (Edge),,
58,Snaps (Hit),,
57,Cymbal 1 (Crash),,
56,Cowbell (Hit),,
55,Cymbal 3 (Crash),,
54,Tambourine (On Beat),,
53,Tambourine (Bell),,
52,Cymbal 1 (Crash),,
51,Ride (Bow),,
50,Cymbal 2 (Mute Hit),,
49,Cymbal 2 (Crash),,
48,Racktom (Center),,
47,Racktom (Center),,
46,Hi Hat (Open 2),,
45,Racktom (Center),,
44,Hi Hat (Closed Pedal),,
43,Floortom (Center),,
42,Hi Hat (Closed Tip),,
41,Floortom (Center),,
40,SD (Fat),,
39,Claps (Hit),,
38,Snare (Center),,
37,Snare (Sidestick),,
36,Kick,,
35,KD (Long),,
34,KD (Short),,
33,SD (Small),,
32,Percussion (Hit),,
31,Crashes (Hit),,
30,FX Bell (Hit),,
29,Cymbal 3 (Crash),,
28,Cymbal 2 (Crash),,
27,Cymbal 1 (Crash),,
26,Hi Hat (Open 3),,
25,Hi Hat (Open 2),,
24,Hi Hat (Open 1),,
23,Hi Hat (Open Pedal),,
22,Hi Hat (Closed Edge),,
21,Hi Hat (Closed Pedal),,
20,Hi Hat (Tip Trigger),,
19,Hi Hat (Tip Trigger),,
18,Hi Hat (Edge Trigger),,
17,Bells (Gliss Fast),,
16,Bells (Gliss Slow),,
15,Bells (Single 5),,
14,Bells (Single 4),,
13,Bells (Single 3),,
12,Bells (Single 2),,
11,Bells (Single 1),,
10,Hi Hat (Closed Pedal),,
9,Hi Hat (Tip Trigger),,
8,Hi Hat (Tip Trigger),,
7,Hi Hat (Edge Trigger),,
6,Snare (Center),,
5,Snare (Sidestick),,
4,Snare (Sidestick),,
3,Tambourine,,
2,Shaker,,
1,One Shot,,
0,,,
