127,Snare (Sidestick),,
126,Snare (Rimshot),,
125,Snare (Center),,
124,Hi Hat (Open 5),,
123,Hi Hat (Open 1),,
122,Hi Hat (Closed Edge),,
121,Hi Hat (Open 3),,
120,Hi Hat (Open 1),,
119,Hi Hat (Closed Tip),,
118,Ride (Mute Hit),,
117,Ride (Bell),,
116,Ride (Bow),,
115,Ride (Edge),,
114,Ride (Bell),,
113,Ride (Bow),,
112,Ride (Bell),,
111,Ride (Bow),,
110,Ride (Edge),,
109,Ride (Bell),,
108,Ride (Bow),,
107,Cymbal 6 (Mute Hit),,
106,Cymbal 4 (Mute Hit),,
105,Ride (Bell),,
104,Ride (Bow),,
103,Ride (Edge),,
102,Ride (Bell),,
101,Ride (Bow),,
100,Ride (Bell),,
99,Ride (Bow),,
98,Ride (Edge),,
97,Ride (Bell),,
96,Ride (Bow),,
95,Cymbal 3 (Mute Hit),,
94,Cymbal 1 (Mute Hit),,
93,Ride (Bell),,
92,Ride (Bow),,
91,Ride (Edge),,
90,Ride (Bell),,
89,Ride (Bow),,
88,Ride (Bell),,
87,Ride (Bow),,
86,Ride (Edge),,
85,Ride (Bell),,
84,Ride (Bow),,
83,Ride (Mute Hit),,
82,Racktom 1 (Rimshot),,
81,Racktom 1 (Center),,
80,Racktom 2 (Rimshot),,
79,Racktom 2 (Center),,
78,Racktom 3 (Rimshot),,
77,Racktom 3 (Center),,
76,Snare (Sidestick),,
75,Floortom 1 (Rimshot),,
74,Floortom 1 (Center),,
73,Floortom 2 (Rimshot),,
72,Floortom 2 (Center),,
71,Snare (Rimshot),,
70,Snare (Center),,
69,Snare (Center),,
68,Snare (Center),,
67,Snare (Sidestick),,
66,Snare (Center),,
65,Hi Hat (Seq Hits),,
64,Hi Hat (Closed Edge),,
63,Hi Hat (Tight Tip),,
62,Hi Hat (Tight Edge),,
61,Hi Hat (Closed Tip),,
60,Hi Hat (Open 4),,
59,Ride (Edge),,
58,Cymbal 5 (Mute Hit),,
57,Cymbal 5 (Crash),,
56,Cymbal 5 (Mute Hit),,
55,Splash (Crash),,
54,Cymbal 2 (Mute Hit),,
53,Ride (Bell),,
52,China 2 (Crash),,
51,Ride (Bow),,
50,Cymbal 2 (Mute Hit),,
49,Cymbal 2 (Crash),,
48,Racktom 1 (Center),,
47,Racktom 2 (Center),,
46,Hi Hat (Open 2),,
45,Racktom 3 (Center),,
44,Hi Hat (Closed Pedal),,
43,Floortom 1 (Center),,
42,Hi Hat (Closed Tip),,
41,Floortom 2 (Center),,
40,Snare (Rimshot),,
39,Snare (Center),,
38,Snare (Center),,
37,Snare (Sidestick),,
36,Kick (Right),,
35,Kick (Left),,
34,Kick (Left),,
33,Snare (Center),,
32,Cymbal 6 (Crash),,
31,Cymbal 4 (Crash),,
30,Cymbal 3 (Crash),,
29,Spock (Crash),,
28,Cymbal 1 (Crash),,
27,China 1 (Crash),,
26,Hi Hat (Open 3),,
25,Hi Hat (Open 2),,
24,Hi Hat (Open 1),,
23,Hi Hat (Open Pedal),,
22,Hi Hat (Closed Edge),,
21,Hi Hat (Closed Pedal),,
20,Hi Hat (Tip Trigger),,
19,Hi Hat (Tip Trigger),,
18,Hi Hat (Edge Trigger),,
17,Hi Hat (Open 5),,
16,Hi Hat (Open 4),,
15,Hi Hat (Open 3),,
14,Hi Hat (Open 2),,
13,Hi Hat (Open 1),,
12,Hi Hat (Open 1),,
11,Hi Hat (Closed Tip),,
10,Hi Hat (Closed Pedal),,
9,Hi Hat (Tip Trigger),,
8,Hi Hat (Tip Trigger),,
7,Hi Hat (Edge Trigger),,
6,Snare (Center),,
5,Snare (Sidestick),,
4,Snare (Sidestick),,
3,Tambourine,,
2,Shaker,,
1,One Shot,,
0,,,
